Date,Description,Location,Category,Amount
"01/13/2026","PAYMENT - THANK YOU"," ","Payment",691.23
"01/13/2026","TST* MORNING STORY - MARIMARION       IA","
MARION, IA ","Charge",100
"01/13/2026","Asics                    Las Vegas    NV","
Las Vegas, NV ","Charge",229.21
"01/13/2026","WAL-MART #2051           KINGMAN      AZ","
KINGMAN, AZ ","Charge",29.7
"01/12/2026","CCDOA LAS AIRPORT        LAS VEGAS    NV","
LAS VEGAS, NV ","Charge",48
"01/12/2026","4930 LVNPO               LAS VEGAS    NV","
LAS VEGAS, NV ","Charge",5
"01/11/2026","Breakfast Barn and Lunch Cedar Rapids IA","
Cedar Rapids, IA ","Charge",59
"01/11/2026","CASEYS #2919             MARION       IA","
MARION, IA ","Charge",14.14
"01/11/2026","HOLLYWOOD NAILS          CEDAR RAPIDS IA","
CEDAR RAPIDS, IA ","Charge",200.5
"01/11/2026","SHELL 12822357005        888-467-4355 IA","
888-467-4355, IA ","Charge",17.79
"01/11/2026","CULVERS OF CEDAR RAPIDS  CEDAR RAPIDS IA","
CEDAR RAPIDS, IA ","Charge",5.66
"01/10/2026","TST*WEST END DINER       Marion       IA","
Marion, IA ","Charge",18.47
"01/10/2026","HARRAH'S HOTEL LAS VEGAS 8662094732   NV","
8662094732, NV ","Charge",56.63
"01/09/2026","WM SUPERCENTER #1528     319-393-0444 IA","
319-393-0444, IA ","Charge",105.18
"01/09/2026","CASEYS #2768             CEDAR RAPIDS IA","
CEDAR RAPIDS, IA ","Charge",37.27
"01/09/2026","CASEYS #2768             515-965-6100 IA","
515-965-6100, IA ","Charge",38.5
"01/09/2026","WAL-MART #3630           MARION       IA","
MARION, IA ","Charge",90.31
"01/08/2026","ALLEGNT AIR,KRZ          702-5058888  NV","
702-5058888, NV ","Charge",8
"01/08/2026","WAL-MART #2051           KINGMAN      AZ","
KINGMAN, AZ ","Charge",24.69
"01/05/2026","SHELL 10010473014        888-467-4355 AZ","
888-467-4355, AZ ","Charge",11.08
"01/04/2026","PAYMENT - THANK YOU"," ","Payment",386.43
"01/04/2026","WM SUPERCENTER #2051     928-692-0555 AZ","
928-692-0555, AZ ","Charge",35.15
"01/03/2026","Google Store             650-2530000  CA","
650-2530000, CA ","Charge",0.84
"01/01/2026","DOLLAR GENERAL #23902 KINGMAN  AZ CREDIT","
GMAN  AZ CRED, IT ","Credit",17.84
"01/01/2026","WAL-MART #2051           KINGMAN      AZ","
KINGMAN, AZ ","Charge",73.46
"01/01/2026","SQ *THE CANVAS, ITS FIRE!KINGMAN      AZ","
KINGMAN, AZ ","Charge",20.24
"01/01/2026","CULVERS KINGMAN AIRWAY   KINGMAN      AZ","
KINGMAN, AZ ","Charge",12.52
"12/30/2025","MINT MOBILE              800-683-7392 CA","
800-683-7392, CA ","Charge",205.67
"12/29/2025","PAYMENT - THANK YOU"," ","Payment",881.89
"12/29/2025","DOLLAR GENERAL #23902    KINGMAN      AZ","
KINGMAN, AZ ","Charge",34.59
"12/28/2025","SP BUNKER BRANDING C     BUNKERBRANDINTX","
BUNKERBRANDIN, TX ","Charge",39.95
"12/27/2025","WM SUPERCENTER #2051     928-692-0555 AZ","
928-692-0555, AZ ","Charge",40.03
"12/27/2025","GOOGLE *Google Store     g.co/helppay#CA","
g.co/helppay#, CA ","Charge",575.07
"12/25/2025","Google One               650-2530000  CA","
650-2530000, CA ","Charge",4.94
"12/23/2025","ALLEGNT AIR,KRZ          702-5058888  NV","
702-5058888, NV ","Charge",156
"12/21/2025","WM SUPERCENTER #2051     928-692-0555 AZ","
928-692-0555, AZ ","Charge",55.68
"12/20/2025","PAYMENT - THANK YOU"," ","Payment",220.98
"12/20/2025","WAL-MART #2051           KINGMAN      AZ","
KINGMAN, AZ ","Charge",31.27
"12/20/2025","SQ *THE CANVAS, ITS FIRE!KINGMAN      AZ","
KINGMAN, AZ ","Charge",18.9
"12/17/2025","SPORT CLIPS - AZ401 - KINKINGMAN      AZ","
KINGMAN, AZ ","Charge",34
"12/16/2025","WAL-MART #2051           KINGMAN      AZ","
KINGMAN, AZ ","Charge",3.24
"12/15/2025","SignUp *HavasuHalfMaratho888-3851360  NJ","
888-3851360, NJ ","Charge",43.6
"12/14/2025","BEALE STREET THEATER     WWW.KINGMANARAZ","
WWW.KINGMANAR, AZ ","Charge",27.05
"12/14/2025","WAL-MART #2051           KINGMAN      AZ","
KINGMAN, AZ ","Charge",73.14
"12/13/2025","PAYMENT - THANK YOU"," ","Payment",405.3
"12/13/2025","SP BUNKER BRANDING C     BUNKERBRANDINTX","
BUNKERBRANDIN, TX ","Charge",39.95
"12/10/2025","SQ *NAILS BY GERRIKA     KINGMAN      AZ","
KINGMAN, AZ ","Charge",147.6
"12/09/2025","OUTBACK #3219            LAUGHLIN     NV","
LAUGHLIN, NV ","Charge",81.86
"12/09/2025","TROPICANA CARNEGIES CAFE LAUGHLIN     NV","
LAUGHLIN, NV ","Charge",20.57
"12/08/2025","WAL-MART #2051           KINGMAN      AZ","
KINGMAN, AZ ","Charge",30.02
"12/08/2025","DUTCHBROS.COFFEE         APPS.APPLE.COOR","
APPS.APPLE.CO, OR ","Charge",0.95
"12/07/2025","IN-N-OUT LAUGHLIN        LAUGHLIN     NV","
LAUGHLIN, NV ","Charge",6.61
"12/07/2025","TROPICANA POOLSIDE CAFE  LAUGHLIN     NV","
LAUGHLIN, NV ","Charge",7.58
"12/07/2025","HARRAHS LAUGHLIN BCH CAF LAUGHLIN     NV","
LAUGHLIN, NV ","Charge",37.91
"12/06/2025","IN-N-OUT LAUGHLIN        LAUGHLIN     NV","
LAUGHLIN, NV ","Charge",6.61
"12/06/2025","TROPICANA CARNEGIES CAFE LAUGHLIN     NV","
LAUGHLIN, NV ","Charge",25.99
"12/05/2025","PAYMENT - THANK YOU"," ","Payment",381.44
"12/05/2025","MCDONALD'S F2967         KINGMAN      AZ","
KINGMAN, AZ ","Charge",6.97
"12/05/2025","MCDONALD'S F33234        KINGMAN      AZ","
KINGMAN, AZ ","Charge",3.81
"12/05/2025","SQ *THE CANVAS, ITS FIRE!KINGMAN      AZ","
KINGMAN, AZ ","Charge",18.9
"12/04/2025","WM SUPERCENTER #2051     928-692-0555 AZ","
928-692-0555, AZ ","Charge",9.92
"12/01/2025","WAL-MART #2051           KINGMAN      AZ","
KINGMAN, AZ ","Charge",54.94
"11/30/2025","XSOLLA                   818-435-6613 CA","
818-435-6613, CA ","Charge",13.8
"11/30/2025","SignUp *RunSedonaEvents  888-3851360  NJ","
888-3851360, NJ ","Charge",84.46
"11/30/2025","McDonalds 33234          KINGMAN      AZ","
KINGMAN, AZ ","Charge",10.78
"11/29/2025","SQ *THE CANVAS, ITS FIRE!KINGMAN      AZ","
KINGMAN, AZ ","Charge",22.52
"11/29/2025","CULVERS KINGMAN AIRWAY   KINGMAN      AZ","
KINGMAN, AZ ","Charge",12.52
"11/26/2025","WM SUPERCENTER #2051     928-692-0555 AZ","
928-692-0555, AZ ","Charge",80.07
"11/25/2025","SQ *THE CANVAS, ITS FIRE!KINGMAN      AZ","
KINGMAN, AZ ","Charge",16.21
"11/24/2025","Patreon* Membership      Internet     CA","
Internet, CA ","Charge",4.82
"11/23/2025","PAYMENT - THANK YOU"," ","Payment",1051.7
"11/23/2025","WM SUPERCENTER #2051     928-692-0555 AZ","
928-692-0555, AZ ","Charge",45.84
"11/22/2025","SAFEWAY #2017            KINGMAN      AZ","
KINGMAN, AZ ","Charge",18.93
"11/21/2025","BEALE STREET THEATER     WWW.KINGMANARAZ","
WWW.KINGMANAR, AZ ","Charge",16.55
"11/21/2025","SQ *FLOYD & COMPANY WOOD-gosq.com     AZ","
gosq.com, AZ ","Charge",6.04
"11/19/2025","WAL-MART #2051           KINGMAN      AZ","
KINGMAN, AZ ","Charge",20.57
"11/19/2025","McDonalds 33234          KINGMAN      AZ","
KINGMAN, AZ ","Charge",21.02
"11/18/2025","IN-N-OUT KINGMAN         KINGMAN      AZ","
KINGMAN, AZ ","Charge",15.38
"11/17/2025","WL *Steam Purchase       425-9522 CREDIT","
425-9522 CRED, IT ","Credit",14.58
"11/17/2025","WL *Steam Purchase       425-9522985  WA","
425-9522985, WA ","Charge",14.58
"11/16/2025","PAYMENT - THANK YOU"," ","Payment",41.35
"11/16/2025","STAPLES       00113886 KINGMAN  A CREDIT","
NGMAN  A CRED, IT ","Credit",64.85
"11/16/2025","STAPLES       00113886   KINGMAN      AZ","
KINGMAN, AZ ","Charge",75.66
"11/16/2025","WAL-MART #2051           KINGMAN      AZ","
KINGMAN, AZ ","Charge",45.22
"11/16/2025","PROGRESSIVE *INSURANCE   800-776-4737 OH","
800-776-4737, OH ","Charge",825.5
"11/14/2025","PAYMENT - THANK YOU"," ","Payment",149
"11/14/2025","STAPLES       00113886   KINGMAN      AZ","
KINGMAN, AZ ","Charge",64.85
"11/14/2025","WAL-MART #2051           KINGMAN      AZ","
KINGMAN, AZ ","Charge",42.31
"11/13/2025","WAL-MART #2051           KINGMAN      AZ","
KINGMAN, AZ ","Charge",26.65
"11/13/2025","SQ *THE CANVAS, ITS FIRE!KINGMAN      AZ","
KINGMAN, AZ ","Charge",14.7
"10/29/2025","ANNUAL FEE"," ","Charge",149
